code,icao,name,latitude,longitude,elevation,time_zone,city,state,country
LRV,SVRS,Los Roques,11.833333,-66.75,0,America/Caracas,Caraballeda,Vargas,VE
PPH,SVPX,Peraitepuy,4.583333,-61.516666,2916,America/Caracas,N/A,N/A,VE
PTM,SVPT,Palmarito,7.566667,-70.183334,341,America/Caracas,Maporal,Barinas,VE
PZO,SVPR,Manuel Carlos Piar Guayana Airport,8.2877988,-62.7611544163069,413,America/Caracas,Ciudad Guayana,Bolivar,VE
SCI,SVPM,San Cristobal,7.766667,-72.23333,2703,America/Caracas,San Cristobal,Tachira,VE
PDZ,SVPE,Pedernales,9.978796,-62.23099375317,26,America/Caracas,Pedernales,Delta Amacuro,VE
PBL,SVPC,Puerto Cabello,10.4789026,-68.0728744930771,59,America/Caracas,Puerto Cabello,Carabobo,VE
PYH,SVPA,Puerto Ayacucho,5.6,-67.5,580,America/Caracas,Puerto Ayacucho,Amazonas,VE
CBS,SVON,Oro Negro,10.383333,-71.416664,39,America/Caracas,Cabimas,Zulia,VE
SFX,SVMU,San Felix,8.216667,-62.38333,885,America/Caracas,Upata,Bolivar,VE
MUN,SVMT,Jose Tadeo Monagas International Airport,9.7497702,-63.1547084286592,164,America/Caracas,Maturin,Monagas,VE
CCS,SVMI,Simon Bolivar International Airport,10.60316215,-66.9966767006036,209,America/Caracas,Catia La Mar,Vargas,VE
PMV,SVMG,Santiago Marino International Airport,10.917189,-63.96899,68,America/Caracas,San Juan Bautista,Nueva Esparta,VE
MRD,SVMD,A Carnevalli,8.583333,-71.157776,4957,America/Caracas,Merida,Merida,VE
MAR,SVMC,La Chinita Airport,10.5578071,-71.7254962784662,187,America/Caracas,San Francisco,Zulia,VE
LFR,SVLF,La Fria Airport,8.240556,-72.272224,305,America/Caracas,La Fria,Tachira,VE
KTV,SVKM,Kamarata,5.75,-62.416668,1770,America/Caracas,N/A,N/A,VE
KAV,SVKA,Kavanayen,5.666667,-61.766666,3900,America/Caracas,N/A,N/A,VE
LSP,SVJC,Josefa Camejo Airport,11.77786265,-70.1475670409119,72,America/Caracas,Punto Fijo,Falcon,VE
ICC,SVIE,Andrés Miguel Salazar Marcano Airport,10.7941896,-63.9814859109823,29,America/Caracas,Punta de Piedras,Nueva Esparta,VE
ICA,SVIC,Icabaru,4.3380481,-61.7385793,1656,America/Caracas,N/A,N/A,VE
HGE,SVHG,Higuerote Airport,10.46339655,-66.0960910697729,26,America/Caracas,Higuerote,Miranda,VE
GUQ,SVGU,Guanare,9.02806755,-69.7543635606996,531,America/Caracas,Guanare,Portuguesa,VE
GUI,SVGI,Guiria,10.5764238,-62.3112109351569,65,America/Caracas,Gueiria,Sucre,VE
GDO,SVGD,Vare Maria,7.233333,-70.8,429,America/Caracas,Guasdualito,Apure,VE
EOZ,SVEZ,Elorza,7.166667,-69.53333,278,America/Caracas,Elorza,Apure,VE
EOR,SVED,El Dorado,6.733333,-61.88333,515,America/Caracas,N/A,N/A,VE
PPZ,SVDZ,Puerto Paez,6.2202685,-67.4474917,206,America/Caracas,Puerto Carreno,Vichada,VE
CUM,SVCU,Cumana,10.4510747,-64.1321520900149,32,America/Caracas,Cumana,Sucre,VE
CZE,SVCR,Coro,11.415833,-69.681946,45,America/Caracas,Coro,Falcon,VE
CUP,SVCP,Carupano,10.6607285,-63.2615402262505,95,America/Caracas,Carupano,Sucre,VE
VCR,SVCO,Carora,10.183333,-70.083336,1420,America/Caracas,Carora,Lara,VE
CAJ,SVCN,Canaima,6.2295804,-62.8545914822487,1377,America/Caracas,N/A,N/A,VE
CLZ,SVCL,Calabozo,8.92472605,-67.4138170805061,347,America/Caracas,Calabozo,Guarico,VE
